year,ic,shortName,longName,penizefo_url,bupfo_url,penizepo_url,buppo_url
2022,00409740,Zelení,Strana zelených,https://zpravy.udh.gov.cz/export/vfz2022-zeleni-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2022-zeleni-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2022-zeleni-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2022-zeleni-buppo.json
2023,05402450,ABP,Aliance pro budoucnost,https://zpravy.udh.gov.cz/export/vfz2023-oda-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2023-oda-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2023-oda-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2023-oda-buppo.json
2023,71443339,ANO,ANO 2011,https://zpravy.udh.gov.cz/export/vfz2023-ano-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2023-ano-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2023-ano-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2023-ano-buppo.json
2023,05989175,AUTO,Motoristé sobě,https://zpravy.udh.gov.cz/export/vfz2023-referendumeu-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2023-referendumeu-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2023-referendumeu-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2023-referendumeu-buppo.json
2023,00442704,KDU-ČSL,KDU-ČSL,https://zpravy.udh.gov.cz/export/vfz2023-kducsl-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2023-kducsl-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2023-kducsl-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2023-kducsl-buppo.json
2023,00496936,KSČM,Komunistická strana Čech a Moravy,https://zpravy.udh.gov.cz/export/vfz2023-kscm-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2023-kscm-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2023-kscm-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2023-kscm-buppo.json
2023,16192656,ODS,Občanská demokratická strana,https://zpravy.udh.gov.cz/export/vfz2023-ods-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2023-ods-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2023-ods-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2023-ods-buppo.json
2023,71339698,Piráti,Česká pirátská strana,https://zpravy.udh.gov.cz/export/vfz2023-pirati-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2023-pirati-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2023-pirati-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2023-pirati-buppo.json
2023,10742409,PŘÍSAHA,PŘÍSAHA občanské hnutí,https://zpravy.udh.gov.cz/export/vfz2023-prisaha-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2023-prisaha-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2023-prisaha-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2023-prisaha-buppo.json
2023,00409171,SOCDEM,Sociální demokracie,https://zpravy.udh.gov.cz/export/vfz2023-cssd-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2023-cssd-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2023-cssd-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2023-cssd-buppo.json
2023,26673908,STAN,STAROSTOVÉ A NEZÁVISLÍ,https://zpravy.udh.gov.cz/export/vfz2023-stan-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2023-stan-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2023-stan-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2023-stan-buppo.json
2023,71339612,Svobodní,Svobodní,https://zpravy.udh.gov.cz/export/vfz2023-svobodni-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2023-svobodni-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2023-svobodni-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2023-svobodni-buppo.json
2023,71339728,TOP 09,TOP 09,https://zpravy.udh.gov.cz/export/vfz2023-top09-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2023-top09-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2023-top09-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2023-top09-buppo.json
2023,00409740,Zelení,Strana zelených,https://zpravy.udh.gov.cz/export/vfz2023-zeleni-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2023-zeleni-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2023-zeleni-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2023-zeleni-buppo.json
2024,05402450,ABP,Aliance pro budoucnost,https://zpravy.udh.gov.cz/export/vfz2024-oda-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2024-oda-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2024-oda-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2024-oda-buppo.json
2024,71443339,ANO,ANO 2011,https://zpravy.udh.gov.cz/export/vfz2024-ano-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2024-ano-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2024-ano-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2024-ano-buppo.json
2024,05989175,AUTO,Motoristé sobě,https://zpravy.udh.gov.cz/export/vfz2024-referendumeu-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2024-referendumeu-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2024-referendumeu-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2024-referendumeu-buppo.json
2024,00442704,KDU-ČSL,KDU-ČSL,https://zpravy.udh.gov.cz/export/vfz2024-kducsl-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2024-kducsl-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2024-kducsl-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2024-kducsl-buppo.json
2024,00496936,KSČM,Komunistická strana Čech a Moravy,https://zpravy.udh.gov.cz/export/vfz2024-kscm-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2024-kscm-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2024-kscm-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2024-kscm-buppo.json
2024,16192656,ODS,Občanská demokratická strana,https://zpravy.udh.gov.cz/export/vfz2024-ods-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2024-ods-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2024-ods-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2024-ods-buppo.json
2024,71339698,Piráti,Česká pirátská strana,https://zpravy.udh.gov.cz/export/vfz2024-pirati-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2024-pirati-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2024-pirati-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2024-pirati-buppo.json
2024,10742409,PŘÍSAHA,PŘÍSAHA občanské hnutí,https://zpravy.udh.gov.cz/export/vfz2024-prisaha-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2024-prisaha-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2024-prisaha-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2024-prisaha-buppo.json
2024,00409171,SOCDEM,Sociální demokracie,https://zpravy.udh.gov.cz/export/vfz2024-cssd-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2024-cssd-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2024-cssd-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2024-cssd-buppo.json
2024,22142631,Stačilo!,Stačilo!,https://zpravy.udh.gov.cz/export/vfz2024-actosli-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2024-actosli-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2024-actosli-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2024-actosli-buppo.json
2024,26673908,STAN,STAROSTOVÉ A NEZÁVISLÍ,https://zpravy.udh.gov.cz/export/vfz2024-stan-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2024-stan-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2024-stan-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2024-stan-buppo.json
2024,71339612,Svobodní,Svobodní,https://zpravy.udh.gov.cz/export/vfz2024-svobodni-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2024-svobodni-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2024-svobodni-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2024-svobodni-buppo.json
2024,71339728,TOP 09,TOP 09,https://zpravy.udh.gov.cz/export/vfz2024-top09-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2024-top09-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2024-top09-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2024-top09-buppo.json
2024,00409740,Zelení,Strana zelených,https://zpravy.udh.gov.cz/export/vfz2024-zeleni-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2024-zeleni-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2024-zeleni-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2024-zeleni-buppo.json
2025,05402450,ABP,Aliance pro budoucnost,https://zpravy.udh.gov.cz/export/vfz2025-oda-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2025-oda-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2025-oda-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2025-oda-buppo.json
2025,71443339,ANO,ANO 2011,https://zpravy.udh.gov.cz/export/vfz2025-ano-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2025-ano-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2025-ano-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2025-ano-buppo.json
2025,05989175,AUTO,Motoristé sobě,https://zpravy.udh.gov.cz/export/vfz2025-referendumeu-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2025-referendumeu-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2025-referendumeu-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2025-referendumeu-buppo.json
2025,00442704,KDU-ČSL,KDU-ČSL,https://zpravy.udh.gov.cz/export/vfz2025-kducsl-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2025-kducsl-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2025-kducsl-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2025-kducsl-buppo.json
2025,00496936,KSČM,Komunistická strana Čech a Moravy,https://zpravy.udh.gov.cz/export/vfz2025-kscm-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2025-kscm-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2025-kscm-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2025-kscm-buppo.json
2025,16192656,ODS,Občanská demokratická strana,https://zpravy.udh.gov.cz/export/vfz2025-ods-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2025-ods-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2025-ods-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2025-ods-buppo.json
2025,71339698,Piráti,Česká pirátská strana,https://zpravy.udh.gov.cz/export/vfz2025-pirati-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2025-pirati-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2025-pirati-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2025-pirati-buppo.json
2025,10742409,PŘÍSAHA,PŘÍSAHA občanské hnutí,https://zpravy.udh.gov.cz/export/vfz2025-prisaha-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2025-prisaha-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2025-prisaha-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2025-prisaha-buppo.json
2025,00409171,SOCDEM,Sociální demokracie,https://zpravy.udh.gov.cz/export/vfz2025-cssd-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2025-cssd-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2025-cssd-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2025-cssd-buppo.json
2025,04134940,SPD,Svoboda a přímá demokracie (SPD),https://zpravy.udh.gov.cz/export/vfz2025-spd-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2025-spd-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2025-spd-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2025-spd-buppo.json
2025,22142631,Stačilo!,Stačilo!,https://zpravy.udh.gov.cz/export/vfz2025-actosli-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2025-actosli-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2025-actosli-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2025-actosli-buppo.json
2025,26673908,STAN,STAROSTOVÉ A NEZÁVISLÍ,https://zpravy.udh.gov.cz/export/vfz2025-stan-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2025-stan-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2025-stan-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2025-stan-buppo.json
2025,71339612,Svobodní,Svobodní,https://zpravy.udh.gov.cz/export/vfz2025-svobodni-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2025-svobodni-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2025-svobodni-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2025-svobodni-buppo.json
2025,71339728,TOP 09,TOP 09,https://zpravy.udh.gov.cz/export/vfz2025-top09-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2025-top09-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2025-top09-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2025-top09-buppo.json
2025,00409740,Zelení,Strana zelených,https://zpravy.udh.gov.cz/export/vfz2025-zeleni-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2025-zeleni-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2025-zeleni-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2025-zeleni-buppo.json
